,type,id,tags,geometry
76,node,670971372,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.603288599999999 47.4020719)
77,node,670971373,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6036791 47.4020937)
78,node,671556911,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6247403 47.3797499)
79,node,671686897,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6057588 47.3996568)
80,node,671686915,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6065803 47.3997061)
81,node,671686936,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6068147 47.4001117)
82,node,681723461,"{'camera:mount': 'pole', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.5005567 47.3924897)
83,node,681737673,"{'camera:mount': 'wall', 'check_date': '2022-09-14', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.502174 47.3924267)
84,node,692404143,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5957802 47.3938158)
85,node,693234286,{'man_made': 'surveillance'},POINT (8.5353276 47.4142742)
86,node,693234306,{'man_made': 'surveillance'},POINT (8.5363294 47.4135786)
87,node,696109925,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (8.8158241 47.2250847)
88,node,696109959,"{'camera:mount': 'street_lamp', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'street'}",POINT (8.8182951 47.2266107)
89,node,696114738,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.535829 47.3776373)
90,node,697355045,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6052256 47.3983392)
91,node,697355046,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6053056 47.398493)
92,node,697371626,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6226684 47.4001945)
93,node,699179559,"{'check_date': '2023-01-26', 'level': '-1', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",POINT (8.5939956 47.4120765)
94,node,699179560,"{'check_date': '2023-01-26', 'level': '-1', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",POINT (8.593918500000001 47.4119136)
95,node,700827309,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (8.5921059 47.4127288)
